"","cor_val","pct_strong_vec","pct_wai_vec","pct_wbc_vec","type1_error_vec","power_vec"
"374",0.7,100,70,40,0,64
"375",0.7,100,20,40,0,44
"376",0.7,100,30,50,0,52
"377",0.7,100,0,30,0,32
"378",0.7,100,60,40,0,60
"379",0.7,100,10,20,0,32
"380",0.7,100,60,60,0,68
"381",0.7,100,0,30,0,32
"382",0.7,100,30,40,0,48
"383",0.7,100,0,30,0,32
"384",0.7,100,10,30,0,36
"385",0.7,100,50,50,0,60
"386",0.7,100,30,50,0,52
"387",0.7,100,50,40,0,56
"388",0.7,100,20,30,0,40
"389",0.7,100,0,20,0,28
"390",0.7,100,0,20,0,28
"391",0.7,100,40,50,0,56
"392",0.7,100,40,60,0,60
"393",0.7,100,10,40,0,40
"394",0.7,100,30,50,0,52
"395",0.7,100,10,30,0,36
"396",0.7,100,10,40,0,40
"397",0.7,100,60,30,0,56
"398",0.7,100,30,30,0,44
"399",0.7,100,20,20,0,36
"400",0.7,100,30,10,0,36
"401",0.9,100,0,20,0,28
"402",0.9,100,30,60,0,56
"403",0.9,100,50,30,6.66666666666667,52
"404",0.9,100,70,60,0,72
"405",0.9,100,80,70,0,80
"406",0.9,100,60,50,0,64
"407",0.9,100,50,30,0,52
"408",0.9,100,10,30,0,36
"409",0.9,100,20,40,0,44
"410",0.9,100,0,30,0,32
"411",0.9,100,10,20,0,32
"412",0.9,100,0,20,0,28
"413",0.9,100,30,40,0,48
"414",0.9,100,40,40,0,52
"415",0.9,100,0,20,0,28
"416",0.9,100,30,40,0,48
"417",0.9,100,60,30,0,56
"418",0.9,100,30,30,0,44
"419",0.9,100,10,40,0,40
"420",0.9,100,40,40,0,52
"421",0.9,100,70,50,0,68
"422",0.9,100,30,50,0,52
"423",0.9,100,70,50,0,68
"424",0.9,100,0,0,0,20
"425",0.9,100,0,20,0,28
"426",0.9,100,0,30,0,32
"427",0.9,100,40,50,0,56
"428",0.9,100,0,30,0,32
"429",0.9,100,30,10,0,36
"430",0.9,100,0,20,0,28
"431",0.9,100,0,40,0,36
"432",0.9,100,30,40,0,48
"433",0.9,100,30,10,0,36
"434",0.9,100,20,30,0,40
